t=2024-10-30T20:19:56+0000 lvl=info msg="no configuration paths supplied"
t=2024-10-30T20:19:56+0000 lvl=info msg="using configuration at default config path" path=/home/rcpaffenroth/.config/ngrok/ngrok.yml
t=2024-10-30T20:19:56+0000 lvl=info msg="open config file" path=/home/rcpaffenroth/.config/ngrok/ngrok.yml err=nil
t=2024-10-30T20:19:56+0000 lvl=warn msg="can't bind default web address, trying alternatives" obj=web addr=127.0.0.1:4040
t=2024-10-30T20:19:56+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4042 allow_hosts=[]
t=2024-10-30T20:19:56+0000 lvl=info msg="client session established" obj=tunnels.session
t=2024-10-30T20:19:56+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=4393ca2221c4 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=abe8fd10eb52 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=e84bb04f0069 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=7c71af84d314 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=b5f62239c347 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=f6f264e3c94a l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=a1ac62ede444 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=c79cdc76cae0 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=38fc28f089bc l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=90a4e9d1f7ae l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=1c40ccaaedb3 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=40a44d257b05 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=10b436b7d9e6 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=ce103d349acb l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=bc5375a70960 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=1afb0945b584 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=723249a9754a l=127.0.0.1:31415 r=130.215.212.234:52861
